CPID,Name,Description
CP108,Type X Drywall,"Drywall is ubiquitously used in building construction as interior wall enclosures, ceilings, and partitions in both load-bearing and non-load-bearing cases. There are many strains of Drywall including but not limited to acoustical, fire-resistant, moisture-resistant and mold-resistant varieties. This Common Product profile represents a Type X (fire resistant) Drywall product. Drywall is composed of gypsum plaster pressed between a paper or cardboard lining. The key material is gypsum (calcium sulfate), which is available in different hydration levels, and in anhydrous form. Natural gypsum stone is calcium sulfate-dihydrate (CaSO4*2H2O). The anhydrous calcium sulfate can be found in nature as anhydrite (CaSO4). Gypsum also occurs in large quantities as the industry by-product, otherwise known as flue-gas desulphurized (FGD) gypsum. This common product profile includes a combination of natural mined gypsum, FGD, and post-consumer gypsum. Type X drywall has greater thickness and special core additives (mainly vermiculite, fiberglass, and kaolin clay) which provide additional fire resistance, higher rigidity, and enhanced sound attenuation as compared to regular ½” gypsum  board. 5/8” (16mm) type X North American gypsum  boards are manufactured to ASTM C1396, Standard Specification for Gypsum Board."
CP109,Drywall (Mixed Gypsum),"Drywall is ubiquitously used in building construction as interior wall enclosures, ceilings, and partitions in both load-bearing and non-load-bearing cases. There are many strains of Drywall including but not limited to acoustical, fire-resistant, moisture-resistant and mold-resistant varieties. This Common Product profile represents a regular Drywall product. Drywall is composed of gypsum plaster pressed between a paper or cardboard lining. The key material is gypsum (calcium sulfate), which is available in different hydration levels, and in anhydrous form. Natural gypsum stone is calcium sulfate-dihydrate (CaSO4*2H2O). The anhydrous calcium sulfate can be found in nature as anhydrite (CaSO4). Gypsum also occurs in large quantities as the industry by-product, otherwise known as flue-gas desulphurized (FGD) gypsum. This common product profile characterizes a drywall product made of a combination of naturally mined gypsum, FGD and some post-consumer gypsum."
CP110,Drywall (FGD),"Drywall is ubiquitously used in building construction as interior wall enclosures, ceilings, and partitions in both load-bearing and non-load-bearing cases. There are many strains of Drywall including but not limited to acoustical, fire-resistant, moisture-resistant and mold-resistant varieties. This Common Product profile represents a regular Drywall product. Drywall is composed of gypsum plaster pressed between a paper or cardboard lining. The key material is gypsum (calcium sulfate), which is available in different hydration levels, and in anhydrous form. Natural gypsum stone is calcium sulfate-dihydrate (CaSO4*2H2O). The anhydrous calcium sulfate can be found in nature as anhydrite (CaSO4). Gypsum also occurs in large quantities as the industry by-product, otherwise known as flue-gas desulphurized (FGD) gypsum. This common product profile characters a drywall product made of FGD."
CP111,Welded Wire Mesh Concrete Reinforcement,"Welded wire reinforcement is made from a low carbon steel suitable for welding.  Sections of steel wire of varying diameter are crossed perpendicularly with other sections of steel wire, and welded into a grid.  These intersections are joined using resistance welding which uses electrical current to melt the wires together, therefore no additional materials are needed to complete the weld.  Welded wire reinforcement is specified under ASTM 1064, however the standard does not require that any specific steel alloy or material composition be used."
CP112,Foundation waterproofing sheet membrane,"Below grade waterproofing products range from cementitious waterproofing to liquid applied membranes to sheet membranes.  The main advantage of sheet membranes is their consistent thickness. These membranes also have good elongation and flexibility to move with the building.  The most common sheet membranes are self-adhering rubberized asphalt membranes.  These products are often used to waterproof foundations and other below grade structures.  They are comprised of a rubberized asphalt adhesive which is laminated to a polyethylene film, with a release liner applied to the adhesive side.  The membrane comes in roll form and can be applied horizontally or vertically.  A primer is required on concrete prior to application of the membrane.  Once the membrane is applied, it must be rolled with a hand roller to ensure a complete bond to the substrate.  Some products have a selvage edge of asphalt adhesive to aid in sealing between sheets, but in order to ensure continuity, sheets must be overlapped by a minimum of 2-3 inches and the seams rolled to ensure adhesion. Some products may require additional sealing at corners or edges or additional protection from damage.  Care must be taken not to damage the membrane during backfill."
CP113,Foundation waterproofing sheet primer,"Sheet waterproofing membranes are used in below grade waterproofing for applications such as foundations.  While these products are self-adhesive, the use of a primer is required prior to membrane application on concrete.  The primer is applied to dry surfaces to condition them by binding dust and also providing a tacky surface for improved membrane adhesion.  Both solvent-based and water-based primers are available.  Water-based primers are more prominent and are recommended when priming below grade applications so are covered in this CP.  The primer can be brush, roller, or spray applied."
CP114,Foundation dampproofing,"Dampproofing products are typically asphalt-based and applied to the exterior of a foundation to prevent moisture from migrating out of the ground and into the pores of the concrete or masonry.  Many products recommend two coats be applied, either by brush or spray, 24 hours apart."
CP115,Granular Fill,"Granular fill provides support for a concrete pour. A mix of course and fine aggregates, the fill is placed under or on top of a vapor retarding membrane before being compacted.  Granular fill is specified based on the percentage of aggregates classified as course or fine based on size, rather than by material.  Aggregates can be mined from virgin sources, or recovered from the waste stream.  In California, both reclaimed concrete and asphalt are used in granular fill.  Because the precise composition will vary based on environmental and geographic conditions, this CP assumes that both virgin and reclaimed aggregates are used, with equal portions of Crushed Stone, Gravel, Sand, Blast Furnace Slag, Reclaimed Concrete, and Reclaimed Asphalt."
CP116,Plywood,"Plywood is constructed using thin layers of wood, called plies, bound by resin. A variety of wood species may be used depending upon the application. This CP is for flooring underlayment and roof and wall sheathing applications, which often use softwood species such as Yellow Pine or Douglas Fir. Plywood underlayment and sheathing is commonly constructed with a moisture resistant resin, such as phenol formaldehyde, and is typically sold in 4 x 8 ft planks of 9 mm to 18 mm thickness."
CP117,Particleboard,"Particleboard is a non-structural wood panel product constructed using wood residues from the production of primary wood products. Particleboard is produced by blending these wood residues with resin(s), resin catalyst, and wax followed by curing under pressure and heat. Urea formaldehyde (UF) resins continue to be the most cost effective and commonly used resins for composite wood products such as particleboard. However, due to formaldehyde emission regulations from the California Air Resources Board (CARB), manufacturers have begun to use new technologies such as formaldehyde scavengers - such as urea, melamine, and melamine urea formaldehyde (MUF) resin - to reduce formaldehyde emissions from UF resin. This CP models a particleboard product bound with a UF/MUF resin system."
CP118,Wood Framing,"This CP describes sawn lumber intended for light structural framing (wall framing, sill plates, etc.), also known as “dimensional lumber” in the industry.   Boards are cut in standard dimensions: 2x4 or 4x4 inches by 10 feet, are commonly used in framing, for example.  Because the lumber is intended for interior applications, it is not typically pressure treated.  Instead, the lumber is sawn from logs to the appropriate dimensions and air or kiln dried to 19% humidity.  To prevent discoloration, known as sapstain, from forming, dimensional lumber is routinely dipped in a bath, or sprayed with a fungicidal treatment that inhibits the growth of microbes naturally found in freshly cut timber."
CP119,Fire-retardant Treated/PT Lumber,"To become fire retardant, lumber is soaked in a treatment bath of water and additives, under pressure, until the bath solution has permeated the structure of the wood.  The bath is drained and the wood is dried to a 19% maximum humidity level, leaving the additives behind in the cells of the wood.  Fire retardant lumber (FRT) is rated for either interior applications (UFCA rated by the American Wood Protection Association) or exterior applications (UFCB).  This CP describes UFCA FRT, intended for various uses – joists, partitions, etc – where the lumber will not be exposed to moisture or outdoor conditions."
CP120,EPS Insulation,"ASTM C578 defines expanded polystyrene (EPS) thermal insulation as a, ""cellular plastic product manufactured from pre-expanded polystyrene beads subsequently molded into desired shapes and sizes resulting in a product which is rigid with closed cellular structure."" EPS foams fall into ASTM C578 Types I, II, VII, IX, XI, XIV, and XV. Rigid EPS foam boards contain flame retardants in quantities sufficient to meet standards outlined in the ASTM standard. This CP describes unfaced, rigid EPS foam insulation boards suitable for a range of insulating applications."
CP121,Spray Foam Insulation,"Spray foam insulation (SPF) is a site applied foam insulation for residential, commercial, and industrial applications.  SPF is a two-part polyurethane based foam and can be used in place of other insulating materials like batt insulation (fiberglass, mineral fiber) and loose fill insulation.  SPF can be either open or closed cell and both can be used to create a continuous air barrier.  Despite its higher cost, closed cell insulation has gained larger market share due to its higher R value and vapor barrier characteristics.  Closed cell SPF can be used in various applications including interior or exterior walls, attics, foundations, HVAC ducts, etc.  Since these products are reacted and applied on site, special care must be taken to avoid occupational exposure to the isocyanates, amines, blowing agents, etc. that volatilize during the application process.  Special training is required for applicators of SPF, and there is a delay period before unprotected individuals can re-enter the application area. Offgassing from the SPF can occur for extended periods after installation.  There is continued debate on the definition of full cure for SPF insulation and the amount of time needed for harmful levels of emissions to recede is highly contested."
CP123,Mineral Fiber Batt Insulation,"Mineral fibers are manufactured by spinning a molten mixture of rock wool (derived from igneous rocks such as basalt) and slag wool (derived from blast furnace slag from the steel industry) into fine fibers. An atomized binder (commonly urea phenol-formaldehyde) is sprayed onto the fibers as they settle onto a conveyor belt in layers to form an insulation batt. When the batt has reached the desired thickness, it is conveyed into an oven to cure. A vapor barrier can be applied to the mineral fiber batt with an adhesive; however, this was found on only one of the mineral fiber batts in this survey and is not included in this profile. Mineral fiber batt insulation is a thermal insulation product that has high heat resistance, inherent resistance to fungal, mold, and mildew growth, and is water-repellant. It has a high insulating value and also acts as a good acoustical barrier. Because of its high heat resistance, it is sometimes used as a passive fire barrier. Mineral fiber batts are installed by cutting the batt to fit the wall cavity. Friction then holds the batt in place until drywall is installed."
CP124,Thermoplastic polyolefin (TPO) membrane roofing,"Thermoplastic polyolefin (TPO) membranes are made up of a block copolymer of polypropylene and ethylene propylene and additives for UV and thermal stabilization. TPO roofing membranes are constructed by sandwiching a woven polyester reinforcing layer, or scrim, with two TPO membrane sheets. Roofing membranes are typically sold in thickness of 45, 60, and 80 mil sheets. TPO roofing membranes may include up to 20% recycled content, depending upon the manufacturer, from post industrial scrap. Roofing membranes are sold in rolls which are applied via mechanical fasteners, site or factory applied adhesives, or loose laid with gravel. Membrane seams are heat welded and edges are sealed using tapes or sealants."
CP125,Polyvinyl chloride membrane roofing,"Polyvinyl chloride (PVC) membrane roofing is made up of two layers of flexible PVC surrounding a woven polyester (PET) reinforcing layer, or scrim. Flexible PVC is made up of a variety of additives including plasticizers, pigments, flame retardants, biocides, fillers and thermal and ultraviolet stabilizers. PVC Roofing membranes are typically sold in thickness of 45, 50, 60, and 80 mil sheets. PVC roofing membranes may include up to 10% recycled content, depending upon the manufacturer, from post industrial scrap. Roofing membranes are sold in rolls which are applied via mechanical fasteners, site or factory applied adhesives, or loose laid with gravel. Membrane seams are heat welded. This CP does not include installation products such as fasteners or adhesives, but characterizes the roofing membrane alone."
CP126,Membrane roofing adhesives,"Roofing membranes are adhered to roof substrates through a variety of adhesive products.  While individual products will specify particular adhesives, rubberized contact adhesives can generally be used with EPDM, TPO and some PVC roofing membranes.  Some low VOC products are available, however this CP describes the traditional solvent-based version of rubberized roofing adhesives, which have fairly high VOC levels (median across products reviewed is more than 76%).  The adhesive is rolled or sprayed to the roofing substrate, and potentially also on the back-side of the roofing membrane, and allowed to dry.  The membrane is applied to the roofing substrate and pressure applied, until a permanent bond is created."
CP127,Steel Door,"Hollow steel doors can be fabricated with many options depending on their intended use.  This CP reviews a standard duty, flush, hollow steel door intended for interior uses where thermal insulation is not a concern.  The Steel Door Institute considers this a Level 1, Model 1 door, which is not fire-rated, but is suggested for use in a variety of situations in commercial spaces.  The most common core in steel doors where insulation is not needed is honeycomb, a matrix of resin-impregnated kraft paper, which provides structure and acoustical performance.  The core is attached to the door skins with a rubberized contact adhesive before channels are spot welded to the top, bottom, and sides to completely encase the core.  All exposed surfaces are cleaned and receive a surface treatment to ensure paint adhesion. Then, a powder coat primer is applied to these surfaces to prevent rust.  Doors may be painted once installed at the customer’s direction. Calculations for this CP are based on a steel door with the dimensions of 86 (h) x 36 (w) x 1.34 (t) inches.  Knobs, hinges and other hardware required to make the door operational are not included in this CP."
CP128,Medium Density Fiberboard (MDF),"Medium Density Fiberboard (MDF) is a non-structural wood panel product constructed using wood residues from the production of primary wood products. MDF is produced by blending these wood residues with resin(s), resin catalyst, and wax, followed by curing under pressure and heat. Urea-formaldehyde (UF) is the most commonly used resin for MDF, however other resins such as melamine-urea formaldehyde or polymeric isocyanate resins may be used when moisture resistance is specified or a no added formaldehyde (NAF) resin is desired. This CP models a standard MDF product made with UF resin."
CP129,Acoustical Ceiling Panels (FGD Gypsum),"Gypsum acoustical ceiling panels are classified under ASTM E1264 as Type X and come in a variety of ceiling patterns. Ceiling panels are typically sold as 2x2 or 2x4 feet panels and are 1/2 inches thick. Sound performance characteristics of these ceiling panels are determined by the noise reduction coefficient (NRC) and ceiling attenuation class (CAC). The NRC refers to how well the panel absorbs noise, which can be as high as 1. An NRC of 0.5-1 is considered to have good acoustical ratings. The CAC refers to how well the panel stops the transmission of sound, which can go as high as 45. Gypsum may be obtained from natural as well as synthetic sources. Natural gypsum is mined, while synthetic gypsum is a by-product of flue-gas desulfurization, scubber technology utililzed at power plants to reduce sulfur dioxide emissions. Synthetic gypsum use is typically reported as post-industrial recycled content. These products also typically contain a small percentage (around 5%) of post-consumer content, which is paper waste pulp used in the gypsum substrate's core and paper facing. Gypsum ceiling panels are constructed by combining gypsum, paper pulp (often post consumer recycled), lightweight aggregate(s) (such as vermiculite, perlite, and/or kaolin clay), and binder (typically starch) into an aqueous slurry. The slurry is then formed and dried onto a fiberglass matt and faced with paper and other materials depending upon the design and application. Due to its durability and cleanability, vinyl facing is commonly used. In applications where high moisture and mold resistance are required, such as hospitals or commercial kitchens, in addition to the vinyl facing a vinyl backing, edge sealant, and biocidal paints or antimicrobial solutions may also be applied. However, that application was not covered in this CP. This CP characterizes ASTM E1264 Type X vinyl faced gypsum ceiling panels made primarily from synthetic gypsum."
CP130,Acoustical Ceiling Panels (Natural Gypsum),"Gypsum acoustical ceiling panels are classified under ASTM E1264 as Type XX and come in a variety of ceiling patterns. Ceiling panels are typically sold as 2x2 or 2x4 feet panels 1/2 inches thick. Sound performance characteristics of these ceiling panels are determined by the noise reduction coefficient (NRC) and ceiling attenuation class (CAC). The NRC refers to how well the panel absorbs noise, which can be as high as 1. An NRC of 0.5-1 is considered to have good acoustical ratings. The CAC refers to how well the panel stops the transmission of sound, which can go as high as 45. Gypsum may be obtained from natural as well as synthetic sources. Natural gypsum is mined, while synthetic gypsum is a by-product of flue-gas desulfurization, scubber technology utililzed at power plants to reduce sulfur dioxide emissions. Synthetic gypsum use is typically reported as post-industrial recycled content. These products also typically contain a small percentage (around 5%) of post-consumer content, which is paper waste pulp used in the gypsum substrate's core and paper facing. Gypsum ceiling panels are constructed by combining gypsum, paper pulp (often post consumer recycled), lightweight aggregate(s) (such as vermiculite, perlite, and/or kaolin clay), and binder (typically starch) into an aqueous slurry. The slurry is then formed and dried onto a fiberglass matt and faced with paper and other materials depending upon the design and application. Due to its durability and cleanability, vinyl facing is commonly used. In applications where high moisture and mold resistance are required, such as hospitals or commercial kitchens, in addition to the vinyl facing a vinyl backing, edge sealant, and biocidal paints or antimicrobial solutions may also be applied. However, that application was not covered in this CP. This CP characterizes ASTM E1264 Type XX vinyl faced gypsum ceiling panels made from 100% natural gypsum."
CP131,Acoustical Ceiling Panels (mineral fiber),"Mineral Fiber acoustical ceiling panels are commonly specified with painted (ASTM E1264 Type III) or  membrane overlay (ASTM E1264 Type IV) finishes. Ceiling panels are typically sold as 2x2 or 2x4 feet panels 3/4 to 1 inches thick. Raw materials typically include mineral fiber, produced from blast furnace and rock slags and coke, lightweight fillers like perlite, recycled paper, and binder(s) like starch and/or latex.  The raw ingredients are mixed with water and slurry processing additives, such as flocculants, defoaming agents, and surfactants. The mixture is spread on a woven fabric scrim if a wet-felted panel or on a metal sheet if a cast panel and dried. For mold/microbial protection, water-based latex paints and primers are applied to the front and back of the panel. Antimicrobials are commonly used in these coatings and core. For additional fire protection, clay filler may be added to the core slurry, but was not included in this CP. Mineral wool ceiling panels can contain over 80% recycled content in the form of post industrial recycled blast furnace slag, used to manufacture mineral wool, post consumer recycled paper, and post industrial and/or consumer recycled ceiling tiles. Blast furnace slag and recycled paper content were captured in this CP. This CP characterizes an ASTM type III painted mineral fiber panel with antimicrobial."
CP132,PVDF-Coated Aluminum Curtainwall Extrusion,"This common product describes an aluminum extrusion with a 70% PVDF coating, as is common in curtain walls.  The aluminum alloys typically used in curtain walls come from the 6xxx series, more specifically 6063 in either a T5 or T6 temper. These tempers are chemically identical but have been put through different heat treatments to impart slightly different strength and performance characteristics. Because they are part of a building exterior, extruded aluminum for use in curtain walls includes a surface treatment. Both PVDF coatings and anodization are common for this application (see Anodized Aluminum Curtainwall Extrusion). PVDF coatings are typically 50 or 70% PVDF in the resin.  The higher PVDF percentage offers superior weatherability, meeting AAMA2605 requirements.  Some PVDF powder coatings are available, but solvent-based liquid coatings appear to be most common. A two-coat system is outlined here (primer + PVDF coating), however, a clear topcoat is sometimes applied as well.  A wide variety of colors are available - specific pigments may have additional associated hazards and LCA impacts.  The dimensions of curtain wall framing are customizable. Based on a sample review of product literature, percentages are based on a segment of anodized aluminum extrusion 24 feet long, 2.5 inches wide, 6 inches deep, and 0.125 inches thick. For estimation purposes, we’ve assumed a simplified geometry and have excluded grooves, etc. from our calculation of surface area."
CP133,High performance coating (epoxy),"Epoxy High Performance Coatings (HPCs) formulated with solvents are used extensively as surface treatments to metals.  They can be applied directly to metal surfaces easily to provide excellent corrosion and chemical resistance.  Epoxies come in 2-part systems which are mixed in varying ratios to produce the coating: one part is a resin, the other part provides the activating agents that initiate the curing reaction.  The underlying chemistry of epoxies, reliant on bisphenol-A, makes water based formulations technically difficult.  While some water-based epoxy HPCs are on the market, they are not intended to be used on metal substrates, and do not provide the performance characteristics of solvent epoxies.  This CP reviews conventional, 2-part, solvent-based epoxy systems only."
CP134,High Performance Coatings (Acrylic),"Acrylic high performace coating (HPC) is the term for a wide range of enhanced protective coatings for both interior and exterior applications in residential or industrial settings. This survey focuses on site-applied interior acrylic HPCs that offer chemical, stain, moisture, and/or rust protection for a range of substrates (including prepared masonry, wallboard, metal, and wood). Acrylic HPCs can be solvent-based or water-based. Concerns over high VOC emissions from solvent-based coatings has made water-based acrylic HPCs the predominant form on the market; thus, this survey focuses on water-based coatings. Tinting additives can also increase VOC content. However, this survey focuses on white or neutral coatings since those colors were available across all the products surveyed."
CP146,Acrylic Flooring Adhesive,"Acrylic adhesives are common in attaching many types of flooring to a substrate.  Carpet backings, resilient flooring, and engineered wood flooring may all specify use of an acrylic flooring adhesives for installation. This CP describes a one-part “universal” acrylic flooring adhesive, designed to be used to install many types of flooring.  While left out of the CP for being more of a specialty additive, note that some acrylic flooring adhesives may contain flame retardants or additives to make them more resistant to freezing and thawing cycles.  Many acrylic flooring adhesives contain biocides to prevent microbes from growing where moisture may find its way between the underside for the flooring and the flooring substrate.  These biocides are most commonly held as proprietary by manufacturers."
CP147,Epoxy flooring adhesive,"Epoxy flooring adhesive is an adhesive used for adhering linoleum, vinyl tiles, rubber tiles, or rubber sheets to a variety of flooring substrates (concrete, plywood, existing resiliant flooring, radiant heating subfloors, steel, aluminum, and cereamic tile, among others). Epoxy flooring adhesive comes as a two-part epoxy (Part A is an epoxy pre-polymer resin base and Part B is typically a polyamine hardener/curing agent) that must be mixed by drill on-site. Most commercial epoxy flooring adhesives come in a pack with Part A and Part B pre-measured to the appropriate mix ratio. Adhesive must set for 12-72 hours after flooring is installed before it can withstand heavy foot-traffic or rolling traffic."
CP148,Polyurethane flooring adhesive,"Polyurethane flooring adhesive is an adhesive used for adhering solid wood, engineered wood, bamboo, parquet, and some rubber and vinyl flooring to a variety of substrates (most commonly concrete, plywood, prepared terrazzo and ceramic tile). It comes in two forms - a one-part moisture cure adhesive or a two-part adhesive that must be mixed together on site. This survey focused on the more prominent one-part moisture cure form. Moisture-cure adhesives use ambient humidity or water in the substrate to cure. Moisture-cure polyurethane adhesives cure more slowly than two-part polyurethane adhesives and must set 12-48 hours before they can withstand foot traffic."
CP149,Linoleum Flooring,"Linoleum flooring is a type of resilient flooring that can be applied with adhesive over a number of different substrates (concrete, seamless floors, tile, marble, approved wood, old resilient flooring, metal). It comes in 2.0 or 2.5 mm thick rolls or in tiles, although the 2.5 mm thickness is most common in commercial products. The linoleum sheet or tile is comprised of linoleum sandwiched between a jute backing and a factory-applied UV-cured lacquer. Linoleum comes in a variety of colors and the color runs through the entire thickness of the tile. This survey focused on white or neutral-colored linoleum; other colors will require the addition of pigments with different CASRNs and potential health hazards. After the linoleum has been installed most products require daily maintenance in the form of mopping, with periodic machine scrubbing and/or buffing. Some linoleum products also need to have polished applied a few times per year. If properly maintained, linoleum flooring will last 35-40 years. Most linoleum contains between 30-43% pre-consumer recycled content in the form of linoleum production scraps and recycled wood/cork powder."
CP150,Vinyl Composition Tile,"Vinyl Composition Tile (VCT) is a rigid floor tile widely used in commercial flooring applications and in small amounts residentially. VCT is commonly available as a 12 in x 12 in (305 mm x 305 mm) 1/8 in thick tile. VCT is composed largely of limestone with smaller proportions of vinyl resins, plasticizer, stabilizers, and pigments. These ingredients are mixed, heated, formed into a sheet, cut into tiles, and finally cooled before packaging. VCT typically has a factory applied acrylic finish to protect it through installation. Once installed, additonal layers of acrylic finish are added. Due to the small proportion of this finish within the overall product as manufacturered, this component is not included in this CP. Historically, phthalate plasticizers were commonly used in VCT. However, recently the market has phased out the use of phthalate plasticizers, making their non-phthalate alternatives more widely prevalent. VCT commonly contains some recycled content, typically at least 1% wt. of the finished product. This content may be post-industrial recyclate coming from other industries, post-consumer coming from manufacturer recycling programs or both. One manufacturer discussed the use of both recycle streams, while two others disclosed their recyclate as post-consumer VCT. This CP assumes a controlled recycle stream from post-consumer VCT, which replaces a portion of the limestone filler. This content introduces at minimum some residual phthalates while other recyclate streams, especially third party PVC scrap, could introduce multiple other hazardous residuals."
CP151,Fluid-Applied Flooring,"Fluid-applied flooring systems are durable flooring systems installed over concrete. They are strong, easy to clean, resistant to spills, and provide coverage for large spaces. Several types of fluid-applied flooring are available including methylmethacrylate and urethane, but epoxy systems are the most common and thus were the focus of this survey. Epoxy fluid-applied flooring is applied in multiple coats. Most applications start with a primer coat, followed by a body coat into which quartz aggregate or colored vinyl chips are broadcast. The body coat is followed by an undercoat into which the aggregate or chips may or may not be broadcast again. Finally, an epoxy or urethane topcoat is applied to seal the system. There was more dislosure for the composition of epoxy topcoats in the products surveyed and so that is what is presented here.  Individual coats of fluid-applied flooring systems, as well as the broadcast quartz or chips, may be pigmented but for this survey neutral or clear coats were selected."
CP152,Carpet,"Carpet products are commonly available as tile (aka. modular) and broadloom carpeting. Carpet products start as a yarn face, tufted into a primary backing. A precoat layer of latex, filler, alumina tryihydrate flame retardant and other additives is applied to the primary backing to bind a scrim stabilizing layer and a secondary backing layer. Despite their similar construction, carpet products are made with a variety of polymer, filler, and additive content. Yarns are commonly made with Nylon 6 or Nylon 6,6, but may also be made with polyester, typically polyester terephalate (PET). Primary backings are typically a woven polyolefin such as polyester or propylene, but secondary backings widely vary including woven polyolefin, polyurethane and vinyl foams, polyvinyl chloride (PVC), rubber and asphalt. Filler content within the precoat and some secondary backings also vary, including virgin and/or recycled limestone, fly ash (aka. calcium aluminosilicate glass), recycled glass, asphalt, and/or recycled carpet. Fly ash is the most commonly used filler in carpet backings, often bringing heavy metal content such as mercury into the carpet backing. However, the use of fly ash was excluded in this CP for those that specify no fly ash carpeting. Antimicrobial treatments are commonly used as components of the latex precoat, although their efficacy is controversial. Stain treatments are also commonly used across the market, though they are generally proprietary and technologies may be specific to the type of fiber used. Carpets may be installed by direct glue or with factory or site applied peel and stick adhesives. This CP represents a carpet tile made with stain repellant treated nylon 6 fiber, polyolefin backings, and limestone filler."
CP155,Hardwood (prefinished),"This common product describes a solid wood construction with a factory applied finish. Wood flooring is typically 3/4 inch thick and is sold in a variety of shapes and sizes. A variety of domestic and exotic hardwood species may be used to make solid hardwood flooring. Surveys of the North American market show that Red Oak is the dominant species used, making up 70% of the market. Typical factory applied finishes include natural oil finishes or UV cured acrylic finishes. The most commonly used finishes are UV cured urethane acrylate, also referred to as polyurethane, finishes. For additional scratch resistance, these finishes commonly contain aluminum oxide.These finishes are applied in many layers, typically three to ten, in order to provide desired level of protection. Stains and pigments may be applied to the wood prior to the urethane acrylate finish, however that was not covered in this CP."
CP156,Bamboo (engineered),"Bamboo flooring is a composite made up bamboo, typically Moso (Phyllostachys Pubescens) bamboo, a resin, and maybe finished or unfinished. The majority of bamboo used in North America is imported from China. Prior to shipment, bamboo is typically treated with a borate solution via immersion and/or spray for protection from mildew and pests. The flooring may be constructed as a solid plank - strips of bamboo mixed with resin and cured under heat and pressure - or engineered. Engineered bamboo floors are constructed in layers, typically three, of varying orientations, which are bound together with resin. In some cases, the top wear layer is the only bamboo portion and wood makes up the substrate layers. However, it's typical that the wear as well as substrate layers are constructed with bamboo. Formaldehyde based resins remain the most common on the market, however many manufacturers offer No Added Urea Formaldehyde (NAUF) resins, typically phenol formaldehyde resin. A small number of manufacturers offer no added formaldehyde (NAF) resins as standard or optional. NAF resins are typically isocyanate based or a soy flour polyamide-epichlorohydrin (PAE) resin. Bamboo floors are available with a variety of staining colors, but is typically offered natural or carbonized/caramelized, a darker color acheived via heat treatment which caramelizes the sugars in the bamboo. Bamboo flooring is available unfinished, but is more typically sold with a multi-layer UV urethane acrylate finish containing aluminum oxide for added protection and scratch resistance. This CP characterizes a NAUF bamboo floor, constructed of borate treated bamboo fibers throughout with a UV urethane acrylate finish containing aluminum oxide.					"
CP157,Cross Laminated Timber (CLT) (Engineered wood),"Cross Laminated Timber (CLT) is a structural engineered wood panel, which can be used to construct walls, floors, and roofs. CLT panels are prefabricated and are construted to specific building requirements, making them available in a variety of sizes and configurations. CLT panels are constructed in several layers using kiln-dried lumber boards stacked in perpendicular layers, typically three to seven, bound with structural adhesives such as polyurethane, emulsion polymer isocyanate (EPI), melamine, or phenolic adhesives. The commonly specified adhesives are formaldehyde free, such as polyurethane or EPI, the most common being polyurethane."
CP158,PP Water Pipe,"This CP describes pipes made from polypropylene random copolymer (PP-R) that are intended for the distribution of hot and cold water within buildings, and able to sustain a pressure of 160 psi at 73 degrees F, as per ASTM F2389.  While the market for PP-R pipes features a variety of specialty products, we have focused on a “standard” product; that is, no added antimicrobial treatment (more common in Asia than US), and no composite fiberglass reinforcement.  Were any of these options specified for use in construction, the health profile for this CP would likely change considerably."
CP159,PEX Water Pipe,"PEX piping is made from polyethylene that has been crosslinked.  Three major crosslinking methods are used and are designated by the type of PEX: PEX-a (peroxide), PEX-b (silane), and PEX-c (e-beam).  Types a and b are most common and since there is more LCA data available for type a, that type will be highlighted in this CP.  PEX piping is primarily used for radiant heating and domestic cold and hot water applications.  PEX intended to transport of potable water must be evaluated and certified for this purpose.  Applicable standards are ASTM F876, ASTM F877, and NSF/ANSI 14.  Due to possible leachants from the pipe, there are special flushing requirements prior to use.  Some studies indicate that pipe additives and degradation products may be found in water coming from the pipe over extended periods of time.  These leachant materials include antioxidants (and degradants of antioxidants) that are added to PEX to protect it from oxidative degradation as well as degradation from chlorine and hypoclorous acid, often added to potable water to prevent microbial growth.  There is indication of industry movement toward antioxidants with lower leachability such as sulfur containing phenolics and HALS (Uponor,Sahar) but it is unclear to what extent these changes have been implemented. Alternatively, more resistant inner layers can be used in piping, but this does not seem to be the case for standard PEX."
CP160,Pipe Insulation,"Polyethylene pipe insulation is composed of a closed-cell polyethylene foam typically sold in a tube sleeve of varying pipe sizes and thicknesses. The polyethylene foam is produced by extruding polyethylene resin with other additives such as aging modifiers, nucleating agents, pigments and flame retardants. Once mixed, a hydrocarbon blowing agent is injected under high pressure into the extruder and the blended material is pushed through a die at the end of the extruder, forming a tube. Upon exiting the extruder, the blowing agent pressure normalizes, causing the mixed resin to expand. Once the foam cools and solidifies, the insulation can be packaged as an unslit tube, with a slit, or with a slit and pre-applied adhesive. This CP is for a pipe insulation product without a pre-applied adhesive."
CP161,Pipe Insulation Adhesives,"Polyethylene pipe insulation is commonly sliced laterally to make wrapping it around pipes easier.  Once fitted around the pipes, the insulation is glued back together into its original tube shape.  Manufactures generally recommend that the abutting ends of the insulation pieces also be joined together with an adhesive.   This adhesive is based on polychloroprene rubber.  This CP reflects formulation information for the limited products on the market, and is supplemented with information on polychloroprene contact adhesives more generally. Note that these adhesives come in a variety of colors, from light amber to dark black.  We found no particular color to be common so have left coloring agents out of this formulation, but note that they may be present in specific products.				"
